ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF00013	0.85	0.86	0.86	0.903	structures/output/WWF00013/WWF00013_model.cif
WWF00017	0.72	0.56	0.56	0.634	structures/output/WWF00017/WWF00017_model.cif
WWF00021	0.82	0.83	0.83	0.911	structures/output/WWF00021/WWF00021_model.cif
WWF00025	0.79	0.8	0.8	0.885	structures/output/WWF00025/WWF00025_model.cif
WWF00030	0.8	0.81	0.81	0.888	structures/output/WWF00030/WWF00030_model.cif
WWF00032	0.82	0.84	0.84	0.89	structures/output/WWF00032/WWF00032_model.cif
WWF00035	0.72	0.47	0.47	0.645	structures/output/WWF00035/WWF00035_model.cif
WWF00038	0.83	0.73	0.73	0.783	structures/output/WWF00038/WWF00038_model.cif
WWF00039	0.76	0.68	0.68	0.761	structures/output/WWF00039/WWF00039_model.cif
WWF00042	0.76	0.78	0.78	0.84	structures/output/WWF00042/WWF00042_model.cif
WWF00047	0.73	0.75	0.75	0.843	structures/output/WWF00047/WWF00047_model.cif
WWF00048	0.74	0.73	0.73	0.822	structures/output/WWF00048/WWF00048_model.cif
WWF00051	0.87	0.86	0.86	0.909	structures/output/WWF00051/WWF00051_model.cif
WWF00055	0.8	0.79	0.79	0.877	structures/output/WWF00055/WWF00055_model.cif
WWF00061	0.91	0.92	0.92	0.929	structures/output/WWF00061/WWF00061_model.cif
WWF00062	0.63	0.46	0.46	0.581	structures/output/WWF00062/WWF00062_model.cif
WWF00065	0.88	0.86	0.86	0.919	structures/output/WWF00065/WWF00065_model.cif
WWF00073	0.85	0.9	0.9	0.902	structures/output/WWF00073/WWF00073_model.cif
WWF00079	0.78	0.79	0.79	0.88	structures/output/WWF00079/WWF00079_model.cif
WWF00081	0.8	0.79	0.79	0.854	structures/output/WWF00081/WWF00081_model.cif
WWF00084	0.92	0.94	0.94	0.955	structures/output/WWF00084/WWF00084_model.cif
WWF00089	0.82	0.66	0.66	0.79	structures/output/WWF00089/WWF00089_model.cif
WWF00093	0.83	0.83	0.83	0.891	structures/output/WWF00093/WWF00093_model.cif
WWF00096	0.85	0.83	0.83	0.903	structures/output/WWF00096/WWF00096_model.cif
WWF00100	0.86	0.82	0.82	0.865	structures/output/WWF00100/WWF00100_model.cif
WWF00105	0.82	0.85	0.85	0.901	structures/output/WWF00105/WWF00105_model.cif
WWF00106	0.91	0.86	0.86	0.874	structures/output/WWF00106/WWF00106_model.cif
WWF00107	0.87	0.85	0.85	0.887	structures/output/WWF00107/WWF00107_model.cif
WWF00108	0.83	0.82	0.82	0.894	structures/output/WWF00108/WWF00108_model.cif
WWF00109	0.88	0.89	0.89	0.928	structures/output/WWF00109/WWF00109_model.cif
WWF00111	0.6	0.43	0.43	0.658	structures/output/WWF00111/WWF00111_model.cif
