taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	NCBI Phylum	NCBI Class	NCBI Order	NCBI Family	NCBI Genus	NCBI Species	GTDB Domain	GTDB Phylum	GTDB Class	GTDB Order	GTDB Family	GTDB Genus	GTDB Species	GOLD Analysis Project ID	GOLD Sequencing Project ID	GOLD Study ID	Is Public	Pubmed ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Depth In Meters	Latitude	Longitude	pH	Pressure	Salinity	Genome Size  * assembled	Gene Count  * assembled	Scaffold Count  * assembled	CRISPR Arrays  * assembled	CDS Count  * assembled	RNA Count  * assembled	CheckM2 Completeness	CheckM2 Contamination	Included_in_final_dataset
2081372008	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample	DOE Joint Genome Institute  (JGI)	2081372008	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Bioreactor	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0011040	Gp0051941	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Bioreactor			1.332	103.756				35830898	50298	15212	121	50293	5			Included
3300003408	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_inoc_plan	DOE Joint Genome Institute  (JGI)	3300003408	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0041897	Gp0095076	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				284901232	430061	234191	175	425941	4120			Included
3300024973	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_expt_300_biof (SPAdes)	DOE Joint Genome Institute  (JGI)	3300024973	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0209959	Gp0095077	Gs0118793	Yes	28139919, 26031303	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				137607266	182677	73532	33	181103	1574			Excluded
3300005393	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Combined Assembly of (Gp0054472, Gp0054536) Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Biofilm + TA Sludge, (LANL Assembly)	DOE Joint Genome Institute  (JGI)	3300005393	Combined Assembly	Engineered	Bioremediation	Terephthalate	Wastewater	Unclassified	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0067045	Gp0054472	Gs0056652	Yes	25615435, 20686509	Mixed, Engineered	Bioremediation	Wastewater	Terephthalate	Unclassified			n/a	n/a				824912631	299656	696959	3536	295165	4491			Excluded
3300014814	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocyanate-only bioreactor	Banfield Lab, University of California, Berkeley	3300014814	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0119849	Gp0136317	Gs0118793	Yes	28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.96	18.46				193900343	346573	202023	108	344767	1806			Included
3300003418	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_inoc_biof	DOE Joint Genome Institute  (JGI)	3300003418	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0041896	Gp0095075	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				171736237	298355	186122	182	295408	2947			Excluded
3300024988	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_inoc_plan (SPAdes)	DOE Joint Genome Institute  (JGI)	3300024988	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0209958	Gp0095076	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				341047186	437514	184905	180	433412	4102			Excluded
3300005443	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample	DOE Joint Genome Institute  (JGI)	3300005443	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Bioreactor	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0074258	Gp0051941	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Bioreactor			1.332	103.756				59601001	95700	51971	300	94631	1069			Excluded
3300024987	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_cont_300_biof (SPAdes)	DOE Joint Genome Institute  (JGI)	3300024987	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0209933	Gp0095079	Gs0118793	Yes	28139919, 26031303	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				280019008	367005	136266	79	364041	2964			Excluded
2081372010	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community (Batch bottle culture DNA_dereplicate_75bp)	DOE Joint Genome Institute  (JGI)	2081372010	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Activated sludge	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0011139	Gp0051946	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Activated sludge			1.332	103.756				55248643	162634	129041	93	162525	109			Included
